Provinsi,HB0,BCG,DPT_HB_Hib,Polio,Campak_Rubella,N
Aceh,49.3,35.9,22.8,5.6,18.5,359
Sumatera Utara,69.4,72.2,60.5,26.6,51.6,1025
Sumatera Barat,75.3,70.6,50.9,20.7,42.4,351
Riau,74.5,71.1,57.3,18.4,46.1,445
Jambi,86.3,89.0,79.2,31.5,66.5,216
Sumatera Selatan,83.0,87.7,77.0,29.5,68.2,542
Bengkulu,85.6,91.7,83.8,39.9,66.5,124
Lampung,87.9,89.8,78.9,27.8,71.8,581
Bangka Belitung,85.2,85.6,72.5,32.4,61.2,86
Kepulauan Riau,92.9,90.6,85.7,53.7,68.3,129
DKI Jakarta,95.1,93.7,81.1,48.6,65.8,602
Jawa Barat,90.6,90.7,75.0,45.3,66.4,2929
Jawa Tengah,93.0,93.7,87.3,61.1,79.5,2022
DI Yogyakarta,99.2,98.0,94.3,75.4,87.8,163
Jawa Timur,94.6,93.6,84.7,57.6,75.8,1967
Banten,80.5,80.9,58.8,31.6,51.9,702
Bali,97.6,98.1,97.0,80.0,88.8,242
Nusa Tenggara Barat,92.9,93.9,76.5,39.8,69.9,388
Nusa Tenggara Timur,82.3,84.1,77.7,41.2,67.8,421
Kalimantan Barat,78.4,77.5,66.1,30.4,53.7,311
Kalimantan Tengah,81.0,82.6,71.3,36.7,64.0,192
Kalimantan Selatan,85.8,81.7,66.3,47.0,54.9,243
Kalimantan Timur,88.3,88.2,76.7,44.4,62.5,229
Kalimantan Utara,87.4,90.3,85.1,43.2,77.5,47
Sulawesi Utara,81.1,85.3,77.3,52.5,65.8,138
Sulawesi Tengah,76.4,79.4,67.1,25.5,57.1,196
Sulawesi Selatan,83.5,85.5,73.8,39.4,62.7,584
Sulawesi Tenggara,79.5,82.8,75.4,29.1,61.5,190
Gorontalo,88.1,89.1,73.4,42.2,75.3,83
Sulawesi Barat,77.6,78.4,68.6,21.8,58.6,108
Maluku,62.8,69.7,56.1,26.7,45.8,126
Maluku Utara,70.6,72.6,58.1,23.4,49.1,87
Papua Barat,63.5,63.3,54.1,28.0,43.7,54
Papua Barat Daya,69.5,69.7,58.2,30.7,49.5,46
Papua,78.8,83.8,70.0,47.1,62.4,85
Papua Selatan,65.0,80.0,70.1,47.5,64.3,55
Papua Tengah,24.0,26.1,23.4,12.9,19.3,75
Papua Pegunungan,17.0,20.5,11.3,4.0,12.9,60
INDONESIA,85.3,85.6,73.9,42.4,64.8,16204
